                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0043,                 4.1875,                 1.5992,                0.61704,                0.20316,                0.14914,                0.09789,                 1.3066,                 2.5294,                 1.9961,              0.0033315,              0.0033315,              0.0033315
                      2,                 1.0226,                 3.3278,                 1.6116,                0.71056,                0.23832,                0.23371,                0.13369,                 1.3673,                 2.2351,                 1.9366,              0.0065988,              0.0065988,              0.0065988
                      3,                 1.0333,                 2.9814,                 1.6023,                0.39292,                0.29633,                0.22283,                0.14227,                 1.2953,                 2.4545,                 1.9418,              0.0098002,              0.0098002,              0.0098002
                      4,                 1.0436,                 2.8704,                 1.6062,                0.65349,                0.34547,                0.33539,                0.21752,                 1.2237,                 2.0054,                 1.8125,               0.009703,               0.009703,               0.009703
                      5,                 1.0235,                 2.6927,                 1.5821,                0.71428,                0.26697,                0.32347,                0.21609,                 1.3037,                  2.026,                 1.8717,               0.009703,               0.009703,               0.009703
                      6,                 1.0006,                  2.517,                 1.5662,                0.71245,                0.29993,                0.35442,                0.23084,                 1.2795,                 1.7074,                 1.8508,               0.009604,               0.009604,               0.009604
                      7,                0.97732,                 2.3839,                 1.5509,                0.83837,                0.34667,                0.42045,                0.30367,                 1.1407,                 1.6775,                 1.7247,               0.009505,               0.009505,               0.009505
                      8,                 0.9624,                 2.2343,                 1.5338,                0.71623,                 0.3631,                0.39505,                0.26993,                 1.2068,                 1.4801,                 1.7749,               0.009406,               0.009406,               0.009406
                      9,                0.95783,                 2.1795,                 1.5262,                 0.6807,                0.44318,                0.44286,                0.30715,                 1.2028,                 1.4344,                 1.7727,               0.009307,               0.009307,               0.009307
                     10,                0.94106,                 2.0892,                  1.523,                0.81941,                0.38288,                 0.4615,                0.32137,                 1.1844,                 1.3554,                 1.7346,               0.009208,               0.009208,               0.009208
